BORE_SUBTY,STATUS,SPUD_DATE,LATITUDE,LONGITUDE
APPRAISAL WELL,SUSPENDED/CAPPED/SHUT-IN,1996-08-24,-24.789602,149.99993
EXPLORATION WELL,PLUGGED AND ABANDONED,1996-08-24,-24.700719,149.956636
APPRAISAL WELL,PLUGGED AND ABANDONED,1996-08-30,-24.698158,149.959614
EXPLORATION WELL,SUSPENDED/CAPPED/SHUT-IN,1996-08-31,-24.789241,150.007636
APPRAISAL WELL,PLUGGED AND ABANDONED,1996-09-06,-24.619344,149.96693
EXPLORATION WELL,SUSPENDED/CAPPED/SHUT-IN,1996-09-11,-24.789544,150.015692
EXPLORATION WELL,SUSPENDED/CAPPED/SHUT-IN,1996-09-18,-25.063219,150.063197
EXPLORATION WELL,PLUGGED AND ABANDONED,1996-09-29,-25.539986,150.209397
EXPLORATION WELL,PLUGGED AND ABANDONED,1996-10-18,-24.553392,149.958408
APPRAISAL WELL,PLUGGED AND ABANDONED,1996-11-24,-25.711742,148.894989
APPRAISAL WELL,PRODUCING HYDROCARBONS,1996-12-13,-25.711742,148.894989
APPRAISAL WELL,PRODUCING HYDROCARBONS,1997-01-04,-25.615206,148.937961
APPRAISAL WELL,SUSPENDED/CAPPED/SHUT-IN,1997-01-24,-25.579799,148.86918
EXPLORATION WELL,PLUGGED AND ABANDONED,1997-04-28,-21.273048,148.07124
APPRAISAL WELL,SUSPENDED/CAPPED/SHUT-IN,1997-05-09,-26.008233,150.088586
EXPLORATION WELL,PLUGGED AND ABANDONED,1997-05-22,-21.630105,148.16415
APPRAISAL WELL,SUSPENDED/CAPPED/SHUT-IN,1997-06-06,-26.04393,150.089877
EXPLORATION WELL,PLUGGED AND ABANDONED,1997-06-27,-21.630104,148.164053
APPRAISAL WELL,SUSPENDED/CAPPED/SHUT-IN,1997-08-02,-26.079616,150.102756
APPRAISAL WELL,SUSPENDED/CAPPED/SHUT-IN,1997-08-17,-26.009011,150.067963
EXPLORATION WELL,SUSPENDED/CAPPED/SHUT-IN,1997-11-30,-25.946764,150.081005
APPRAISAL WELL,SUSPENDED/CAPPED/SHUT-IN,1997-12-15,-26.123255,150.092561
APPRAISAL WELL,SUSPENDED/CAPPED/SHUT-IN,1997-12-22,-26.102647,150.105328
APPRAISAL WELL,PLUGGED AND ABANDONED,1997-12-31,-26.091036,150.07131
