purpose,status,date,lat,lon
appraisal/pilot,suspended/capped/shut-in,2000-05-31,-23.061011,144.759775
exploration,plugged and abandoned,2000-06-02,-31.1819309,149.8927658
development/production,suspended/capped/shut-in,2000-06-10,-26.030097,150.098502
development/production,suspended/capped/shut-in,2000-06-15,-26.008386,150.099597
appraisal/pilot,suspended/capped/shut-in,2000-06-16,-23.060242,144.765783
appraisal/pilot,suspended/capped/shut-in,2000-06-17,-25.569735,148.867405
exploration,plugged and abandoned,2000-06-30,-30.42689213,149.7571802
appraisal/pilot,suspended/capped/shut-in,2000-07-03,-25.77921,148.965647
appraisal/pilot,suspended/capped/shut-in,2000-07-25,-25.806864,149.051178
exploration,water bore,2000-08-18,-25.955447,148.765433
appraisal/pilot,suspended/capped/shut-in,2000-08-21,-25.482669,148.918569
exploration,water bore,2000-08-22,-25.955142,148.637741
exploration,plugged and abandoned,2000-08-26,-25.546472,148.062922
exploration,plugged and abandoned,2000-09-19,-21.961146,148.038091
exploration,plugged and abandoned,2000-09-19,-21.963107,148.066192
appraisal/pilot,suspended/capped/shut-in,2000-09-21,-24.655708,149.065008
development/production,suspended/capped/shut-in,2000-10-12,-24.74063,150.018985
development/production,suspended/capped/shut-in,2000-10-12,-24.730349,150.017852
development/production,suspended/capped/shut-in,2000-10-13,-24.745461,150.000186
development/production,suspended/capped/shut-in,2000-10-13,-24.744436,150.014764
development/production,suspended/capped/shut-in,2000-10-15,-24.7449,150.007486
development/production,suspended/capped/shut-in,2000-10-15,-24.7415,150.011275
development/production,suspended/capped/shut-in,2000-10-16,-24.722002,150.004844
development/production,suspended/capped/shut-in,2000-10-16,-24.722955,150.012369
development/production,suspended/capped/shut-in,2000-10-17,-24.797405,150.021158
development/production,suspended/capped/shut-in,2000-10-17,-24.737355,150.006769
development/production,suspended/capped/shut-in,2000-10-18,-24.803714,150.024135
development/production,suspended/capped/shut-in,2000-10-18,-24.696405,150.02448
appraisal/pilot,suspended/capped/shut-in,2000-10-19,-24.645561,149.068474
development/production,plugged and abandoned,2000-10-28,-34.12809257,150.6855879
development/production,producing,2000-11-06,-34.1241518,150.6899877
exploration,plugged and abandoned,2000-11-07,-26.897436,150.730458
development/production,plugged and abandoned,2000-11-13,-34.12035257,150.6875423
exploration,plugged and abandoned,2000-11-18,-26.872733,150.425585
development/production,suspended/capped/shut-in,2000-12-03,-26.048555,150.093636
exploration,suspended/capped/shut-in,2000-12-05,-26.651992,150.368838
development/production,producing,2000-12-05,-34.11854371,150.6979858
development/production,suspended/capped/shut-in,2000-12-10,-26.052419,150.09013
exploration,plugged and abandoned,2000-12-12,-26.428558,150.068163
appraisal/pilot,suspended/capped/shut-in,2000-12-15,-21.961203,148.038002
development/production,producing,2000-12-18,-34.123076,150.695973
exploration,suspended/capped/shut-in,2000-12-22,-25.42433,148.915181
appraisal/pilot,suspended/capped/shut-in,2001-01-12,-21.968755,148.038091
